accuracy,precision_attack,recall_attack,f1_attack,fpr,tn,fp,fn,tp,n,n_attack,threshold,average_precision,roc_auc,ftp_recall,ftp_support,ssh_recall,ssh_support,model,split,scenario,job,fit_seconds,max_depth,min_samples_leaf,n_estimators,learning_rate
0.9905115147233424,0.9840686274509803,0.5597118959107806,0.7135663507109005,0.00019546716652800192,199483,39,1895,2409,203826,4304,0.5,0.6821526969406708,0.9626554997810939,0.9962779156327544,2418,0.0,1886,xgboost,time,without_port,W3-05,4.0,6,,200.0,0.08
0.9980912443062685,0.9421753769579857,0.99984464812801,0.9701537533916189,0.0019649004118829218,200633,395,1,6436,207465,6437,0.5,0.9739199727995469,0.9994959692329786,0.9997292174383969,3693,1.0,2744,decision_tree,random,with_port,W3-02,0.7,6,5.0,,
0.9979514616923336,0.9381924198250728,0.99984464812801,0.9680379032864556,0.0021091589231350856,200604,424,1,6436,207465,6437,0.5,0.9739153423101704,0.9994958084932339,0.9997292174383969,3693,1.0,2744,decision_tree,random,with_port,W3-02,0.6,6,10.0,,
0.9993251873810041,0.9797348773426786,0.9989125368960696,0.9892307692307692,0.0006615993791909585,200895,133,7,6430,207465,6437,0.5,0.9884599747394849,0.9992863750386707,0.9997292174383969,3693,0.9978134110787172,2744,decision_tree,random,with_port,W3-02,0.7,8,5.0,,
0.9991468440459836,0.9742424242424242,0.9989125368960696,0.9864232568842525,0.0008456533418230297,200858,170,7,6430,207465,6437,0.5,0.9886650874481766,0.9992890272444563,0.9997292174383969,3693,0.9978134110787172,2744,decision_tree,random,with_port,W3-02,0.7,8,10.0,,
0.9996192128792808,0.9899815043156597,0.9978250737921392,0.9938878143133463,0.00032333804246174663,200963,65,14,6423,207465,6437,0.5,0.9969506887017308,0.9988970463759727,0.9997292174383969,3693,0.9952623906705539,2744,decision_tree,random,with_port,W3-02,0.8,12,5.0,,
0.9993685681922252,0.981080256332011,0.9989125368960696,0.9899160957586021,0.0006168294963885628,200904,124,7,6430,207465,6437,0.5,0.9981328687967522,0.999442381075054,0.9997292174383969,3693,0.9978134110787172,2744,decision_tree,random,with_port,W3-02,0.7,12,10.0,,
0.9996192128792808,0.9899815043156597,0.9978250737921392,0.9938878143133463,0.00032333804246174663,200963,65,14,6423,207465,6437,0.5,0.9969495310554006,0.9988970224195685,0.9997292174383969,3693,0.9952623906705539,2744,decision_tree,random,with_port,W3-02,0.7,None,5.0,,
0.9993685681922252,0.981080256332011,0.9989125368960696,0.9899160957586021,0.0006168294963885628,200904,124,7,6430,207465,6437,0.5,0.9974671799931358,0.9994318344612838,0.9997292174383969,3693,0.9978134110787172,2744,decision_tree,random,with_port,W3-02,0.7,None,10.0,,
0.9998891379268793,0.9970551766893986,0.9993785925120398,0.9982155326247187,9.451419702727978e-05,201009,19,4,6433,207465,6437,0.5,0.9998645492667271,0.9999735830412076,0.9997292174383969,3693,0.9989067055393586,2744,random_forest,random,with_port,W3-04,6.2,10,5.0,100.0,
